Magic item	Büyülü eşya
Phase 2 — Hiveborn Powers (60%–0%)	Aşama 2 — Kovan Güçleri (60%–0%)
Phase 1 — Pressure (100%–~50%)	Aşama 1 — Baskı (100%–~50%)
Phase 2 — Apparition (~50%–0%)	Aşama 2 — Hayalet (~50%–0%)
Drop	Düşür
Fix	Düzelt
This page	Bu sayfa
Entangle	Kilitlenme
Mana runs out	Mana biter
Mana empties during a single-target fight.	Mana, tek hedefli bir dövüş sırasında boşalır.
Oil Grenade	Yağ El Bombası
Free damage from jewellery.	Mücevherlerden ücretsiz hasar.
Dying after entering maps	Haritaya girdikten sonra ölmek
How the Loop Reads	Döngü Nasıl Okunur
What to run at each stage. Exact gem levels and support links stay pending PC verification; the stage boundaries are the actionable part.	Her aşamada ne çalıştırılacağı. Tam cevher seviyeleri ve destek bağlantıları PC doğrulaması beklemededir; işlem yapılabilir kısım aşama sınırlarıdır.
Keep as a buff.	Takviye olarak tut.
Keep; part of the movement architecture.	Tut; hareket mimarisinin bir parçası.
Spear	Mızrak
Life, Chaos Res and resistances; boot movement speed for kiting.	Can, Kaos Direnci ve dirençler; kiting için bot hareket hızı.
Improves positioning and roll rhythm.	Konumlandırmayı ve yuvarlanma ritmini iyileştirir.
Is kill pace too slow for resource gain?	Kaynak kazanımı için öldürme temposu çok yavaş mı?
Is kill pace too slow?	Öldürme temposu çok yavaş mı?
High-pressure boss entry	Yüksek baskılı boss girişi
Luxury	Lüks
Gloves	Eldivenler
Works on a low budget early and transitions smoothly.	Erken dönemde düşük bütçeyle çalışır ve sorunsuz geçiş yapar.
Amazon Gameplay	Amazon Oynanışı
Boss damage	Boss hasarı
Reload	Yeniden yükle
Crossbow	Arbalet
Staff / Focus	Asa / Odak
Attributes to equip staff and gems	Asa ve cevherleri kuşanmak için öznitelikler
All	Tümü
Crit chance	Eleştiri şansı
Evasion	Kaçınma
Utility	Fayda
Cooldown Recovery	Bekleme Süresi Kurtarma
Helmet	Miğfer
Maximum Mana	Maksimum Mana
Verify	Doğrula
Abyssal Depths	Abyssal Depths
Unique boss	Benzersiz boss
Key terms	Anahtar terimler
Variable	Değişken
Attack	Saldırı
Ignite	Tutuşturma
Grounding	Topraklanma
Electrocute	Elektrik Çarpması
Encounter	Karşılaşma
Layer	Katman
Energy Shield build	Enerji Kalkanı yapısı
Report	Raporla
Row 3	Satır 3
Fortress	Kale
None (map-driven)	Yok (harita güdümlü)
Low, free exit	Düşük, ücretsiz çıkış
Returning players	Dönen oyuncular
Greater	Büyük
Targets	Hedefler
Requirement	Gereksinim
Gem level	Cevher seviyesi
Regeneration	Yenilenme
Flasks	İksirler
Resource	Kaynak
Life, Mana, or Energy Shield	Can, Mana veya Enerji Kalkanı
Perfect / Corrupted Essence	Mükemmel / Bozulmuş Öz
Not on the same hit	Aynı vuruşta değil
Yes (enemy resistance is lower)	Evet (düşman direnci daha düşük)
Survival	Hayatta Kalma
No Leech	Sızma yok
South	Güney
Elemental	Elementel
Trade search	Ticaret araması
Current early-access behaviour.	Mevcut erken erişim davranışı.
Can be used	Kullanılabilir
Per item	Eşya başına
Confirm capacity remains.	Kapasitenin kaldığını doğrula.
Right-click the orb	Cevheri sağ tıkla
Acquisition routes	Edinim rotaları
Current status	Mevcut durum
Guide observation	Rehber gözlemi
Consumed	Tüketildi
Endgame farmers	Endgame çiftçileri
Eligibility	Uygunluk
Types	Türler
Ring	Yüzük
Charms	Tılsımlar
Socket	Yuva
Trigger condition	Tetikleme koşulu
Ring size comparison	Yüzük boyutu karşılaştırması
Yes, always	Evet, her zaman
Detail	Ayrıntı
Allocatable remotely	Uzaktan tahsis edilebilir
Not allocatable	Tahsis edilemez
Use it for	Bunun için kullan
Defense decision table	Savunma karar tablosu
Signature mod	İmza modu
Casters	Büyücüler
Map farmers	Harita çiftçileri
Mana, Spirit and Resource Sustain	Mana, Ruh ve Kaynak Sürdürme
A normal rare jewel's stats	Normal bir nadir mücevherin istatistikleri
Little to none	Çok az veya hiç
How the conversion works	Dönüşüm nasıl çalışır
Item type	Eşya türü
Base item	Temel eşya
Modifier Eligibility Matrix	Değiştirici Uygunluk Matrisi
Charms Guide	Tılsımlar Rehberi
Jewel family comparison	Mücevher aile karşılaştırması
Jewel	Mücevher
Ruby / Emerald / Sapphire / Diamond	Yakut / Zümrüt / Safir / Elmas
Only one Megalomaniac may be socketed per character.	Her karaktere yalnızca bir Megalomaniac takılabilir.
Farmers	Çiftçiler
Role	Rol
Socketable modifier slotted into gear	Ekipmana takılan yuvalanabilir değiştirici
later loot patches	sonraki ganimet yamaları
11 new Supports	11 yeni Destek
Then vs Now	O Zaman ve Şimdi
Performance guide	Performans rehberi
Old content risk	Eski içerik riski
Current content requirement	Mevcut içerik gereksinimi
Technical Patch	Teknik Yama
Recover	Kurtar
Setup overview	Kurulum genel bakışı
Obtained from an Uncut Skill Gem; enabled in the skill panel.	Kesilmemiş Beceri Cevherinden elde edilir; beceri panelinde etkinleştirilir.
Reserved while active	Etkinken rezerve edilir
Energy Retention	Enerji Tutma
Support	Destek
Known Issues	Bilinen Sorunlar
Spirit cost	Ruh maliyeti
Spirit Budget Trade-offs	Ruh Bütçesi Dengeleri
Trade-off	Denge
Infusion Mode	İnfüzyon Modu
Prolonged Duration	Uzatılmış Süre
Endgame gameplay	Endgame oynanışı
PoE2DB and Community Wiki provide tags, mana cost, level scaling and hidden behaviour fields.	PoE2DB ve Topluluk Wiki, etiketler, mana maliyeti, seviye ölçekleme ve gizli davranış alanları sağlar.
PoE2DB and Community Wiki provide tags, weapon requirement, mana cost, level scaling and hidden behaviour fields.	PoE2DB ve Topluluk Wiki, etiketler, silah gereksinimi, mana maliyeti, seviye ölçekleme ve gizli davranış alanları sağlar.
Use Explosive Shot	Patlayıcı Atış kullan
Detonate	İmha et
Pre-place	Önceden yerleştir
Mapping clear	Haritalama temizliği
Limit	Sınır
